文件夹,/Users/lihaoquan/GoProjects/Reference/temp,d41d8cd98f00b204e9800998ecf8427e
文件夹,/Users/lihaoquan/GoProjects/Reference/temp/sd,d41d8cd98f00b204e9800998ecf8427e
文件,/Users/lihaoquan/GoProjects/Reference/temp/xx.txt,d41d8cd98f00b204e9800998ecf8427e

文件变更历史：
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/xx.txt.sb-c4184cea-CrsZx7,2015-09-02 22:04:30.261058076 +0800 CST
重命名,文件,/Users/lihaoquan/GoProjects/Reference/temp/xx.txt,2015-09-02 22:04:30.26141921 +0800 CST
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/xx.txt,2015-09-02 22:04:30.26185886 +0800 CST
重命名,文件,/Users/lihaoquan/GoProjects/Reference/temp/xx.txt.sb-c4184cea-CrsZx7,2015-09-02 22:04:30.310979798 +0800 CST
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/yy.txt,2015-09-02 22:05:23.925157103 +0800 CST
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/.yy.txt.swp,2015-09-02 22:05:52.908651365 +0800 CST
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/.yy.txt.swp,2015-09-02 22:05:52.909077668 +0800 CST
修改,文件,/Users/lihaoquan/GoProjects/Reference/temp/.yy.txt.swp,2015-09-02 22:05:54.022141772 +0800 CST
修改,文件,/Users/lihaoquan/GoProjects/Reference/temp/.yy.txt.swp,2015-09-02 22:05:59.053894292 +0800 CST
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/yy.txt~,2015-09-02 22:06:04.717005644 +0800 CST
重命名,文件,/Users/lihaoquan/GoProjects/Reference/temp/yy.txt,2015-09-02 22:06:04.718939401 +0800 CST
修改,文件,/Users/lihaoquan/GoProjects/Reference/temp/.yy.txt.swp,2015-09-02 22:06:04.721688916 +0800 CST
删除,文件,/Users/lihaoquan/GoProjects/Reference/temp/yy.txt~,2015-09-02 22:06:04.722030413 +0800 CST
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/yy.txt,2015-09-02 22:06:04.722197266 +0800 CST
删除,文件,/Users/lihaoquan/GoProjects/Reference/temp/.yy.txt.swp,2015-09-02 22:06:04.724160512 +0800 CST
新建,文件,/Users/lihaoquan/GoProjects/Reference/temp/zz.txt,2015-09-02 22:06:32.835161679 +0800 CST
重命名,文件,/Users/lihaoquan/GoProjects/Reference/temp/xx.txt,2015-09-02 22:06:32.835324854 +0800 CST
修改,文件,/Users/lihaoquan/GoProjects/Reference/temp/zz.txt,2015-09-02 22:07:16.223652335 +0800 CST
